month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202102,34029,"ocean, nj",389949.5,-0.0227,0.1173,2385,-0.0993,-0.572,113.5,0.135,0.275280899,1108,0.0573,-0.4069,68,-0.3929,-0.0556,176,-0.2414,-0.8268,2881,0.0224,19.0069,176.7864853,0.0123,0.1418,1510,0.0175,0.0067,598171.5343,-0.0127,0.1091,5266,-0.0366,-0.0789,1.207966457,0.1438,1.1821
202102,26147,"st. clair, mi",254500,0.0184,0.1114,204,-0.1807,-0.5837,86,0,0.011764706,88,-0.12,-0.4359,0,-1,-1,36,-0.1818,-0.625,110,-0.1339,0.0476,155.8642967,0.084,0.2075,1640,0.0074,-0.0061,347176.9737,0.0317,0.2704,314,-0.1649,-0.4723,0.539215686,0.0292,0.3249
202102,45041,"florence, sc",218000,0.1474,0.0927,436,0.0187,-0.2417,43,-0.25862069,-0.56122449,144,0,-0.0526,40,9,4,40,0.25,-0.375,37,0.4231,0.6818,105.4984382,0.0169,0.0824,2105,0.0912,0.0218,245458.6679,0.0569,0.1125,473,0.0419,-0.2077,0.084862385,0.0241,0.0466
202102,1003,"baldwin, al",389000,0.0237,0.1117,1197,-0.1863,-0.5761,66,-0.12,-0.25,604,0.1615,-0.2374,152,-0.0256,-0.1915,156,-0.2353,-0.7068,1614,0.2861,0.5886,181.0199494,0.0204,0.1319,2031.5,0.0057,0.026,585050.6169,0.0273,0.2631,2811,0.0312,-0.268,1.348370927,0.4952,0.9886
202102,8069,"larimer, co",530371.5,0.0608,0.174,441,-0.1726,-0.5747,39.5,-0.466216216,-0.451388889,384,0.1429,-0.1933,132,1.3571,0.1786,52,-0.1333,-0.7759,1064,0.285,0.1731,212.3772363,0.0392,0.1433,2631.5,0.0279,-0.041,725469.8561,0.0993,0.2624,1505,0.1058,-0.2258,2.412698413,0.8592,1.5381
202102,51770,"roanoke city, va",195000,-0.0102,0.2342,83,-0.2315,-0.5632,44.5,-0.245762712,-0.364285714,48,-0.2,-0.2941,0,-1,,24,-0.4545,-0.5714,196,0.1462,0.1264,121.3480236,0.0304,0.2374,1795.5,-0.0429,-0.0025,308808.7125,0.084,0.3758,279,0,-0.2335,2.361445783,0.7781,1.4457
202102,48029,"bexar, tx",287950,0.0321,0.0887,2511,-0.2224,-0.5722,45,-0.210526316,-0.328358209,1884,0.1108,-0.199,572,-0.4066,0.1085,500,-0.2733,-0.7396,4349,0.1352,0.2138,154.7334671,0.0452,0.1836,1927.5,-0.0186,-0.0861,406020.2102,0.0673,0.1905,6860,-0.0283,-0.2742,1.731979291,0.5455,1.1215
202102,48491,"williamson, tx",425000,0.0628,0.3418,283,-0.231,-0.8502,7.5,-0.765625,-0.875,672,0.2923,-0.2696,28,-0.8704,-0.9426,16,-0.5556,-0.9643,2131,0.1287,1.6083,191.167305,0.0039,0.2595,2225,0,0.0086,540020.6862,0.0254,0.4459,2414,0.07,-0.1079,7.530035336,2.3996,7.0975
202102,34021,"mercer, nj",425000,0.0759,0.1809,420,-0.1781,-0.6026,63,-0.136986301,-0.059701493,288,0.1429,-0.3898,20,0.6667,0.6667,52,-0.35,-0.7547,727,0.1167,2.8877,174.3832413,-0.0368,0.0224,1474.5,-0.0248,-0.0943,728705.7762,0.2115,0.3073,1147,-0.0129,-0.078,1.730952381,0.457,1.554
202102,55043,"grant, wi",177450,-0.09,-0.0025,62,-0.1622,-0.4655,97.5,0.147058824,-0.194214876,16,-0.2,-0.4286,0,,,8,0,-0.5,40,0.3333,-0.0244,93.8187983,-0.0441,-0.0173,1694,-0.0035,-0.0584,239527.9772,-0.0359,-0.279,102,-0.0192,-0.3503,0.64516129,0.2398,0.2917
