RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31
394775,31,"Las Vegas, NV",Msa,NV,11784.0,11616.0,12156.0,12715.0,11961.0,10969.0,11036.0,11483.0,12128.0,11750.0,12069.0,11909.0,12065.0,12368.0,13235.0,13724.0,14325.0,14635.0,14871.0,14828.0,14582.0,14289.0,13651.0,12699.0,11847.0,11226.0,11201.0,11095.0,11519.0,11807.0,12105.0,12124.0,12134.0,12238.0,11847.0,11106.0,10092.0
394492,32,"Columbus, OH",Msa,OH,5312.0,4898.0,5072.0,5479.0,6238.0,6867.0,7407.0,7697.0,7688.0,7612.0,7191.0,6535.0,5842.0,5330.0,5451.0,5690.0,6338.0,6860.0,7326.0,7526.0,7546.0,7507.0,7131.0,6469.0,5816.0,5340.0,5363.0,5319.0,5521.0,5583.0,5748.0,5731.0,5663.0,5752.0,5535.0,5090.0,4514.0
394705,33,"Indianapolis, IN",Msa,IN,7269.0,6812.0,7147.0,7535.0,7854.0,8033.0,8313.0,8744.0,8840.0,8922.0,8651.0,8084.0,7406.0,6890.0,6995.0,7270.0,7869.0,8418.0,8912.0,9250.0,9383.0,9415.0,9051.0,8351.0,7661.0,7186.0,7156.0,6947.0,7034.0,6962.0,7028.0,6878.0,6867.0,7084.0,6997.0,6504.0,5880.0
395059,34,"San Jose, CA",Msa,CA,1301.0,1316.0,1685.0,2089.0,2508.0,2746.0,2950.0,3026.0,3163.0,3273.0,3178.0,2743.0,2314.0,2207.0,2529.0,2947.0,3374.0,3650.0,3774.0,3664.0,3540.0,3391.0,3033.0,2426.0,1895.0,1790.0,2004.0,2153.0,2399.0,2657.0,2993.0,3097.0,3177.0,3276.0,3142.0,2760.0,2362.0
394355,35,"Austin, TX",Msa,TX,8096.0,7713.0,8303.0,9324.0,10481.0,11297.0,11727.0,11810.0,11479.0,11102.0,10582.0,9969.0,9347.0,8959.0,9324.0,9932.0,10694.0,11458.0,12003.0,12288.0,12089.0,11728.0,11040.0,10004.0,9241.0,8886.0,9315.0,9622.0,10375.0,10645.0,10821.0,10254.0,9651.0,9125.0,8405.0,7573.0,""
395194,36,"Virginia Beach, VA",Msa,VA,11858.0,11476.0,11790.0,12468.0,13253.0,13775.0,13950.0,13855.0,13373.0,12999.0,12493.0,11875.0,11346.0,11063.0,11451.0,12014.0,12708.0,13107.0,13200.0,13006.0,12593.0,12090.0,11411.0,10609.0,9949.0,9683.0,10009.0,10158.0,10313.0,10088.0,9926.0,9549.0,9186.0,8882.0,8502.0,7896.0,7304.0
394902,37,"Nashville, TN",Msa,TN,8709.0,8411.0,8803.0,9490.0,10331.0,11063.0,11594.0,11995.0,12090.0,12168.0,11998.0,11535.0,11085.0,10762.0,11032.0,11488.0,12218.0,12890.0,13487.0,13664.0,13642.0,13565.0,13221.0,12495.0,11640.0,11211.0,11376.0,11509.0,12041.0,12406.0,12742.0,12485.0,11911.0,11400.0,10686.0,9796.0,9041.0
395005,38,"Providence, RI",Msa,RI,5965.0,5442.0,5425.0,5884.0,6612.0,7363.0,7899.0,8189.0,8289.0,8328.0,8033.0,7382.0,6587.0,6067.0,6074.0,6429.0,7044.0,7546.0,7762.0,7757.0,7737.0,7728.0,7395.0,6735.0,6036.0,5610.0,5566.0,5436.0,5509.0,5556.0,5791.0,5786.0,5693.0,5553.0,5262.0,4729.0,4175.0
394862,39,"Milwaukee, WI",Msa,WI,3785.0,3495.0,3622.0,3995.0,4511.0,4783.0,4934.0,4917.0,4903.0,4871.0,4655.0,4284.0,3809.0,3492.0,3509.0,3683.0,4049.0,4382.0,4649.0,4738.0,4730.0,4662.0,4394.0,3959.0,3454.0,3247.0,3373.0,3574.0,3769.0,3932.0,4219.0,4486.0,4651.0,4727.0,4549.0,4106.0,3585.0
394714,40,"Jacksonville, FL",Msa,FL,9888.0,10142.0,10959.0,11758.0,12301.0,12595.0,12842.0,12954.0,12822.0,12593.0,12295.0,11798.0,11567.0,11616.0,12306.0,13047.0,13528.0,13815.0,13684.0,13492.0,13038.0,12803.0,12441.0,12022.0,11628.0,11689.0,12162.0,12184.0,12183.0,11746.0,11406.0,10703.0,9976.0,9486.0,8942.0,8429.0,7877.0
394849,41,"Memphis, TN",Msa,TN,5769.0,5603.0,5714.0,5936.0,6256.0,6556.0,6842.0,7009.0,6971.0,6832.0,6559.0,6329.0,6136.0,6075.0,6217.0,6291.0,6374.0,6372.0,6435.0,6460.0,6393.0,6303.0,6083.0,5762.0,5473.0,5253.0,5234.0,5135.0,5171.0,5033.0,4925.0,4678.0,4498.0,4330.0,4129.0,3827.0,3536.0
394935,42,"Oklahoma City, OK",Msa,OK,9053.0,8779.0,8978.0,9207.0,9635.0,9862.0,10000.0,9950.0,9717.0,9398.0,9068.0,8606.0,8165.0,7731.0,7713.0,7933.0,8240.0,8594.0,8814.0,9038.0,8900.0,8643.0,8207.0,7728.0,7377.0,7155.0,7247.0,7204.0,7458.0,7479.0,7495.0,7194.0,6881.0,6613.0,6167.0,5652.0,5222.0
394807,43,"Louisville-Jefferson County, KY",Msa,KY,4493.0,4305.0,4489.0,4725.0,5042.0,5386.0,5757.0,5981.0,6015.0,6034.0,5939.0,5639.0,5299.0,4996.0,5089.0,5220.0,5512.0,5728.0,5927.0,6029.0,6082.0,6108.0,5941.0,5471.0,5048.0,4750.0,4739.0,4589.0,4610.0,4536.0,4521.0,4349.0,4259.0,4297.0,4228.0,4003.0,3697.0
394669,44,"Hartford, CT",Msa,CT,5881.0,5270.0,5169.0,5593.0,6262.0,6907.0,7060.0,7108.0,6941.0,6872.0,6622.0,6069.0,5449.0,5056.0,5163.0,5534.0,6113.0,6526.0,6747.0,6748.0,6699.0,6594.0,6267.0,5688.0,5117.0,4773.0,4790.0,4647.0,4675.0,4676.0,4866.0,4827.0,4803.0,4788.0,4575.0,4063.0,3474.0
